Bill,Bill Type,Bill Num,Session,Bill Status,Money Given in Favor of Bill,Money Given in against the Bill,Bill Title,Bill URL
986641,s,1165,112,UNOPPOSED,750,189600,,http://maplight.org/us-congress/bill/112-s-1165/986641/total-contributions
986642,s,1166,112,UNOPPOSED,17037471,1348949,,http://maplight.org/us-congress/bill/112-s-1166/986642/total-contributions
901792,hr,1173,112,PASSED,22582477,15860112,Fiscal Responsibility and Retirement Security Act of 2011,http://maplight.org/us-congress/bill/112-hr-1173/901792/total-contributions
1031230,hr,1173,112,PASSED,22582477,15860112,Fiscal Responsibility and Retirement Security Act of 2011,http://maplight.org/us-congress/bill/112-hr-1173/1031230/total-contributions
986651,s,1175,112,UNOPPOSED,37149276,0,,http://maplight.org/us-congress/bill/112-s-1175/986651/total-contributions
986652,s,1176,112,UNOPPOSED,228355,712832,,http://maplight.org/us-congress/bill/112-s-1176/986652/total-contributions
986654,s,1178,112,UNOPPOSED,13675897,0,,http://maplight.org/us-congress/bill/112-s-1178/986654/total-contributions
901803,hr,1179,112,UNOPPOSED,9242158,4256357,,http://maplight.org/us-congress/bill/112-hr-1179/901803/total-contributions
987122,s,1185,112,UNOPPOSED,507220,0,,http://maplight.org/us-congress/bill/112-s-1185/987122/total-contributions
901822,hr,1188,112,UNOPPOSED,20047378,0,,http://maplight.org/us-congress/bill/112-hr-1188/901822/total-contributions
990104,s,1193,112,UNOPPOSED,3308870,0,,http://maplight.org/us-congress/bill/112-s-1193/990104/total-contributions
990115,s,1200,112,UNOPPOSED,21278050,0,,http://maplight.org/us-congress/bill/112-s-1200/990115/total-contributions
901849,hr,1200,112,UNOPPOSED,13297290,0,,http://maplight.org/us-congress/bill/112-hr-1200/901849/total-contributions
901862,hr,1206,112,UNOPPOSED,9394557,5244562,,http://maplight.org/us-congress/bill/112-hr-1206/901862/total-contributions
990129,s,1207,112,UNOPPOSED,8644813,0,,http://maplight.org/us-congress/bill/112-s-1207/990129/total-contributions
901864,hr,1208,112,UNOPPOSED,542004,2314225,,http://maplight.org/us-congress/bill/112-hr-1208/901864/total-contributions
990148,s,1223,112,UNOPPOSED,2102131,262394,,http://maplight.org/us-congress/bill/112-s-1223/990148/total-contributions
952559,hr,1229,112,PASSED,28462013,3508150,Putting the Gulf of Mexico Back to Work Act,http://maplight.org/us-congress/bill/112-hr-1229/952559/total-contributions
949904,hr,1230,112,PASSED,29043919,3529227,Restarting American Offshore Leasing Now Act,http://maplight.org/us-congress/bill/112-hr-1230/949904/total-contributions
990156,s,1230,112,UNOPPOSED,9048081,0,,http://maplight.org/us-congress/bill/112-s-1230/990156/total-contributions
953423,hr,1231,112,PASSED,27864674,3508150,Reversing President Obama's Offshore Moratorium Act,http://maplight.org/us-congress/bill/112-hr-1231/953423/total-contributions
934862,hr,1232,112,UNOPPOSED,157670,1009319,,http://maplight.org/us-congress/bill/112-hr-1232/934862/total-contributions
990216,s,1233,112,UNOPPOSED,774133,0,,http://maplight.org/us-congress/bill/112-s-1233/990216/total-contributions
990410,s,1243,112,UNOPPOSED,6970454,0,,http://maplight.org/us-congress/bill/112-s-1243/990410/total-contributions
934835,hr,1244,112,UNOPPOSED,1176953,0,,http://maplight.org/us-congress/bill/112-hr-1244/934835/total-contributions
990582,hr,1249,112,PASSED,134566996,10832577,Leahy-Smith America Invents Act,http://maplight.org/us-congress/bill/112-hr-1249/990582/total-contributions
990587,hr,1249,112,PASSED,14411181,0,Leahy-Smith America Invents Act,http://maplight.org/us-congress/bill/112-hr-1249/990587/total-contributions
1009125,hr,1249,112,PASSED,185084387,13212381,Leahy-Smith America Invents Act,http://maplight.org/us-congress/bill/112-hr-1249/1009125/total-contributions
990571,hr,1249,112,NOT PASSED,0,9130699,Leahy-Smith America Invents Act,http://maplight.org/us-congress/bill/112-hr-1249/990571/total-contributions
990526,hr,1249,112,PASSED,411093,38374063,Leahy-Smith America Invents Act,http://maplight.org/us-congress/bill/112-hr-1249/990526/total-contributions
1024443,hr,1254,112,PASSED,9470154,28393416,Synthetic Drug Control Act of 2011,http://maplight.org/us-congress/bill/112-hr-1254/1024443/total-contributions
935278,hr,1254,112,PASSED,9470154,28393416,Synthetic Drug Control Act of 2012,http://maplight.org/us-congress/bill/112-hr-1254/935278/total-contributions
935293,hr,1259,112,UNOPPOSED,10380885,0,,http://maplight.org/us-congress/bill/112-hr-1259/935293/total-contributions
991179,s,1273,112,UNOPPOSED,11493595,0,,http://maplight.org/us-congress/bill/112-s-1273/991179/total-contributions
991184,s,1277,112,UNOPPOSED,1820718,0,,http://maplight.org/us-congress/bill/112-s-1277/991184/total-contributions
992436,s,1283,112,UNOPPOSED,44007781,0,,http://maplight.org/us-congress/bill/112-s-1283/992436/total-contributions
937412,hr,1287,112,UNOPPOSED,891268,0,,http://maplight.org/us-congress/bill/112-hr-1287/937412/total-contributions
937427,hr,1295,112,UNOPPOSED,2211961,0,,http://maplight.org/us-congress/bill/112-hr-1295/937427/total-contributions
993142,s,1310,112,UNOPPOSED,0,2032604,,http://maplight.org/us-congress/bill/112-s-1310/993142/total-contributions
999032,hr,1315,112,PASSED,18417120,10411013,Consumer Financial Protection Safety and Soundness Improvement Act of 2011,http://maplight.org/us-congress/bill/112-hr-1315/999032/total-contributions
938842,hr,1315,112,PASSED,18417120,10411013,Consumer Financial Protection Safety and Soundness Improvement Act of 2012,http://maplight.org/us-congress/bill/112-hr-1315/938842/total-contributions
938876,hr,1334,112,UNOPPOSED,3446340,0,,http://maplight.org/us-congress/bill/112-hr-1334/938876/total-contributions
995228,s,1340,112,UNOPPOSED,9004437,52004209,,http://maplight.org/us-congress/bill/112-s-1340/995228/total-contributions
997230,s,1346,112,UNOPPOSED,1103699,36075,,http://maplight.org/us-congress/bill/112-s-1346/997230/total-contributions
939481,hr,1349,112,UNOPPOSED,8797659,3735433,,http://maplight.org/us-congress/bill/112-hr-1349/939481/total-contributions
997237,s,1351,112,UNOPPOSED,15969233,0,,http://maplight.org/us-congress/bill/112-s-1351/997237/total-contributions
939485,hr,1351,112,UNOPPOSED,3930018,0,,http://maplight.org/us-congress/bill/112-hr-1351/939485/total-contributions
997647,s,1358,112,UNOPPOSED,7828585,0,,http://maplight.org/us-congress/bill/112-s-1358/997647/total-contributions
997649,s,1360,112,UNOPPOSED,25227014,8960737,,http://maplight.org/us-congress/bill/112-s-1360/997649/total-contributions
940234,hr,1364,112,UNOPPOSED,5577724,0,,http://maplight.org/us-congress/bill/112-hr-1364/940234/total-contributions
998403,s,1369,112,UNOPPOSED,8902191,3082567,,http://maplight.org/us-congress/bill/112-s-1369/998403/total-contributions
998408,s,1374,112,UNOPPOSED,9178152,0,,http://maplight.org/us-congress/bill/112-s-1374/998408/total-contributions
940250,hr,1377,112,UNOPPOSED,31788820,0,,http://maplight.org/us-congress/bill/112-hr-1377/940250/total-contributions
940803,hr,1380,112,UNOPPOSED,16280452,13858572,,http://maplight.org/us-congress/bill/112-hr-1380/940803/total-contributions
940811,hr,1385,112,UNOPPOSED,7463181,3414802,,http://maplight.org/us-congress/bill/112-hr-1385/940811/total-contributions
940828,hr,1391,112,UNOPPOSED,19252638,13006841,,http://maplight.org/us-congress/bill/112-hr-1391/940828/total-contributions
999026,s,1392,112,UNOPPOSED,43700151,3082567,,http://maplight.org/us-congress/bill/112-s-1392/999026/total-contributions
940839,hr,1397,112,UNOPPOSED,6418201,8548522,,http://maplight.org/us-congress/bill/112-hr-1397/940839/total-contributions
999405,s,1400,112,UNOPPOSED,3483813,0,,http://maplight.org/us-congress/bill/112-s-1400/999405/total-contributions
940850,hr,1404,112,UNOPPOSED,4094956,8390852,,http://maplight.org/us-congress/bill/112-hr-1404/940850/total-contributions
999416,s,1408,112,UNOPPOSED,0,12639192,,http://maplight.org/us-congress/bill/112-s-1408/999416/total-contributions
940854,hr,1408,112,UNOPPOSED,968242,1919884,,http://maplight.org/us-congress/bill/112-hr-1408/940854/total-contributions
941417,hr,1409,112,UNOPPOSED,23810903,0,,http://maplight.org/us-congress/bill/112-hr-1409/941417/total-contributions
999921,s,1415,112,UNOPPOSED,2011442,128008,,http://maplight.org/us-congress/bill/112-s-1415/999921/total-contributions
941428,hr,1418,112,UNOPPOSED,8950885,10413073,,http://maplight.org/us-congress/bill/112-hr-1418/941428/total-contributions
1000082,s,1423,112,UNOPPOSED,3057065,0,,http://maplight.org/us-congress/bill/112-s-1423/1000082/total-contributions
1000086,s,1427,112,UNOPPOSED,3917140,416000,,http://maplight.org/us-congress/bill/112-s-1427/1000086/total-contributions
1000087,s,1428,112,UNOPPOSED,11610218,0,,http://maplight.org/us-congress/bill/112-s-1428/1000087/total-contributions
1042283,hr,1433,112,PASSED,6234245,1619645,Private Property Rights Protection Act of 2012,http://maplight.org/us-congress/bill/112-hr-1433/1042283/total-contributions
1000241,s,1434,112,UNOPPOSED,11474077,0,,http://maplight.org/us-congress/bill/112-s-1434/1000241/total-contributions
941695,hr,1439,112,UNOPPOSED,119432850,1402240,,http://maplight.org/us-congress/bill/112-hr-1439/941695/total-contributions
1107474,s,1440,112,PASSED,24926527,0,PREEMIE Reauthorization Act,http://maplight.org/us-congress/bill/112-s-1440/1107474/total-contributions
1105183,s,1440,112,PASSED,21997891,0,PREEMIE Reauthorization Act,http://maplight.org/us-congress/bill/112-s-1440/1105183/total-contributions
941719,hr,1449,112,UNOPPOSED,1848464,916350,,http://maplight.org/us-congress/bill/112-hr-1449/941719/total-contributions
1000453,s,1452,112,UNOPPOSED,16329346,14645294,,http://maplight.org/us-congress/bill/112-s-1452/1000453/total-contributions
1000696,s,1457,112,UNOPPOSED,924592,0,,http://maplight.org/us-congress/bill/112-s-1457/1000696/total-contributions
1000701,s,1461,112,UNOPPOSED,1729514,26325435,,http://maplight.org/us-congress/bill/112-s-1461/1000701/total-contributions
1000703,s,1463,112,UNOPPOSED,13514520,0,,http://maplight.org/us-congress/bill/112-s-1463/1000703/total-contributions
1000753,s,1467,112,UNOPPOSED,9486603,9666502,,http://maplight.org/us-congress/bill/112-s-1467/1000753/total-contributions
1000757,s,1471,112,UNOPPOSED,12020768,9517572,,http://maplight.org/us-congress/bill/112-s-1471/1000757/total-contributions
942805,hr,1474,112,UNOPPOSED,128937,1410700,,http://maplight.org/us-congress/bill/112-hr-1474/942805/total-contributions
1000763,s,1477,112,UNOPPOSED,819600,0,,http://maplight.org/us-congress/bill/112-s-1477/1000763/total-contributions
942823,hr,1489,112,UNOPPOSED,4024155,0,,http://maplight.org/us-congress/bill/112-hr-1489/942823/total-contributions
942833,hr,1493,112,UNOPPOSED,3261231,2379888,,http://maplight.org/us-congress/bill/112-hr-1493/942833/total-contributions
943469,hr,1505,112,UNOPPOSED,4211060,11445580,,http://maplight.org/us-congress/bill/112-hr-1505/943469/total-contributions
1000793,s,1507,112,UNOPPOSED,14609818,279950,,http://maplight.org/us-congress/bill/112-s-1507/1000793/total-contributions
